City_ID,city,country,temperature,description,latitude,longitude,Hotel Name
0,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
1,bhitarwar,IN,84.2,scattered clouds,25.8,78.12,MPEB bhitarwar
2,baculin,PH,79.43,overcast clouds,7.45,126.58,Shovy's Cove
3,esil,KZ,50.14,clear sky,51.96,66.4,Egorkino Hotel
4,saint-philippe,RE,69.8,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
5,arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
8,klaksvik,FO,51.8,drizzle,62.23,-6.59,Airbnb rooms
9,shubarshi,KZ,64.13,clear sky,48.59,57.19,
10,makakilo city,US,78.8,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
11,dubbo,AU,53.6,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
12,hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
15,puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
16,college,US,53.6,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
17,new norfolk,AU,60.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
20,cidreira,BR,57.69,moderate rain,-30.18,-50.21,Hotel Castelo
21,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
22,pout,SN,78.8,broken clouds,14.77,-17.06,chez sada niang
23,beruwala,LK,80.11,overcast clouds,6.48,79.98,The Palms Hotel
24,pringsewu,ID,72.95,clear sky,-5.36,104.97,Urban Style by Front One
25,pisco,PE,64.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
28,cabo san lucas,MX,84.2,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
29,butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
30,naze,JP,75.2,scattered clouds,28.37,129.48,奄美ポートタワーホテル
31,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
33,koscierzyna,PL,55.4,clear sky,54.12,17.98,Bazuny Hotel & SPA Kaszuby
34,jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
35,avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
36,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
38,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
40,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
41,mackay,AU,66.2,broken clouds,-21.15,149.2,International Lodge Motel
43,shimoda,JP,73.0,light rain,34.67,138.95,Shimoda Tokyu Hotel
44,laguna,US,93.99,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
45,san patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
47,goderich,CA,73.0,broken clouds,43.75,-81.72,Harmony Inn
48,edd,ER,93.56,clear sky,13.93,41.69,
51,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
53,carnarvon,AU,64.4,broken clouds,-24.87,113.63,Hospitality Carnarvon
55,norman wells,CA,51.8,overcast clouds,65.28,-126.83,Heritage Hotel
56,jurm,AF,58.19,clear sky,36.86,70.83,
57,cabo san lucas,MX,84.2,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
59,bukama,CD,79.9,clear sky,-9.2,25.85,
60,vieux-habitants,GP,87.8,broken clouds,16.06,-61.77,Gîtes Dardanelle
61,boralday,KZ,51.8,few clouds,43.36,76.86,Burunday Oteli
62,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
63,basco,PH,83.61,broken clouds,20.45,121.97,Nathaniel's Lodge
64,lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
65,kaifeng,CN,69.8,broken clouds,34.79,114.35,Pullman Kaifeng Jianye
66,torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
67,hofn,IS,55.4,few clouds,64.25,-15.21,Hótel Höfn
68,fortuna,US,86.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
69,bella union,UY,61.56,overcast clouds,-30.28,-57.6,Hotel Oriente
71,necochea,AR,61.0,clear sky,-38.55,-58.74,dyd -mar Hotel
72,constitucion,CL,56.64,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
73,saint-philippe,RE,69.8,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
74,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
76,andenes,NO,53.6,overcast clouds,69.31,16.12,Hotell Marena
78,ca mau,VN,79.99,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
79,tulsipur,NP,88.0,broken clouds,28.13,82.3,Ekanta Hotel Pvt. Ltd
80,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
81,new norfolk,AU,60.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
82,alice springs,AU,62.6,clear sky,-23.7,133.88,Desert Palms Alice Springs
83,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
86,alofi,NU,69.8,broken clouds,-19.06,-169.92,Taloa Heights
87,puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
88,port lincoln,AU,58.73,overcast clouds,-34.73,135.87,Port Lincoln Hotel
89,lompoc,US,78.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
90,margate,GB,64.99,overcast clouds,51.38,1.39,Premier Inn Margate hotel
91,mayo,US,82.0,clear sky,38.89,-76.51,Resorts Resource Group International
92,airai,TL,56.57,broken clouds,-8.93,125.41,Juvinal Martin
93,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
94,sao filipe,CV,79.5,light rain,14.9,-24.5,Tortuga B&B
95,dubai,AE,93.2,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
96,timberlake,US,84.99,clear sky,37.32,-79.26,Timberlake Motel
97,havre-saint-pierre,CA,66.2,clear sky,50.23,-63.6,Auberge Niapiskau
98,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,westport,US,80.6,clear sky,41.14,-73.36,The Westport Inn
101,lianzhou,CN,75.15,overcast clouds,24.78,112.38,Qingcheng Tourism Industry
103,cleveland,US,66.2,scattered clouds,41.5,-81.7,Cleveland Marriott Downtown at Key Tower
105,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
106,albany,US,78.01,scattered clouds,42.6,-73.97,
107,arlit,NE,86.56,light rain,18.74,7.39,Hôtel Telwa Bungalow
109,albany,US,78.01,scattered clouds,42.6,-73.97,
110,pisco,PE,64.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
111,kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
112,namatanai,PG,79.18,clear sky,-3.67,152.43,Namatanai Hotel
113,fortuna,US,86.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
114,castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
115,lagoa,PT,70.07,scattered clouds,39.05,-27.98,Casa Das Faias
116,florianopolis,BR,69.01,moderate rain,-27.61,-48.5,Hotel Boutique Quinta das Videiras
117,vila velha,BR,81.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
119,lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
120,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
121,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
123,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
124,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
127,los llanos de aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
128,leisure city,US,84.2,overcast clouds,25.5,-80.43,Hampton Inn & Suites Miami-South/Homestead
130,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
132,oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
134,vila,PT,78.01,scattered clouds,42.03,-8.16,Hotel Castrum Villae
135,andros,GR,81.0,clear sky,37.83,24.93,Micra Anglia Hotel - Andros
137,mao,ES,66.2,few clouds,39.89,4.27,ARTIEM Capri
140,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
141,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
142,cayenne,GF,89.6,light rain,4.93,-52.33,Hôtel Le Dronmi
143,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
145,honiara,SB,73.4,few clouds,-9.43,159.95,Heritage Park Hotel
146,hilo,US,80.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
147,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,bartica,GY,77.0,thunderstorm,6.4,-58.62,La Vista Hotel and Apartment
150,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
152,ornskoldsvik,SE,53.6,scattered clouds,63.29,18.72,First Hotel Statt
153,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,bethel,US,78.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
155,nikolskoye,RU,55.4,broken clouds,59.7,30.79,Tourist House - Sablino
157,avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
158,san cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
159,mayumba,GA,75.09,broken clouds,-3.43,10.66,LIKWALE LODGE
160,katsuura,JP,82.99,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
161,jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
164,avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
165,whitehorse,CA,55.4,broken clouds,60.72,-135.05,The Sternwheeler Hotel & Conference Centre
166,nurota,UZ,66.2,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
167,jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
168,laramie,US,78.8,clear sky,41.31,-105.59,Ramada by Wyndham Laramie
169,butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
172,namibe,AO,68.25,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
173,new norfolk,AU,60.01,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
174,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
175,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
176,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
179,drummondville,CA,75.0,broken clouds,45.88,-72.48,Hôtel et Suites Le Dauphin Drummondville
181,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
182,beinamar,TD,71.51,scattered clouds,8.67,15.38,
183,yellowknife,CA,51.01,broken clouds,62.46,-114.35,The Explorer Hotel
185,yellowknife,CA,51.01,broken clouds,62.46,-114.35,The Explorer Hotel
186,arraial do cabo,BR,80.6,few clouds,-22.97,-42.03,Pousada Porto Praia
188,obo,CF,68.63,overcast clouds,5.4,26.49,
189,bergama,TR,86.0,clear sky,39.12,27.18,Anil Hotel
190,corning,US,82.4,clear sky,42.14,-77.05,Fairfield Inn by Marriott Corning Riverside
191,vega de alatorre,MX,84.38,overcast clouds,20.03,-96.63,Hotel Deluxe
194,tiznit,MA,90.55,clear sky,29.58,-9.5,
195,ilinskiy,RU,66.0,light rain,55.62,38.12,Around the world
198,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
199,puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
201,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
203,cockburn town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
204,tiznit,MA,90.55,clear sky,29.58,-9.5,
205,ostrovnoy,RU,52.41,light rain,68.05,39.51,
207,hasaki,JP,80.6,few clouds,35.73,140.83,Inubosaki Kanko Hotel
208,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
209,gurgaon,IN,88.0,mist,28.47,77.03,"The Westin Gurgaon, New Delhi"
211,cockburn town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
212,cidreira,BR,57.69,moderate rain,-30.18,-50.21,Hotel Castelo
213,ribeira grande,PT,71.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
214,saldanha,ZA,62.6,clear sky,-33.01,17.94,Blue Bay Lodge
215,itinga,BR,93.79,scattered clouds,-16.61,-41.77,Pousada Barbosa
216,mar del plata,AR,55.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
218,port moresby,PG,78.8,overcast clouds,-9.44,147.18,Lamana Hotel
219,airai,TL,56.57,broken clouds,-8.93,125.41,Juvinal Martin
220,nikolskoye,RU,55.4,broken clouds,59.7,30.79,Tourist House - Sablino
221,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
222,kavieng,PG,82.58,clear sky,-2.57,150.8,Nusa Island Retreat
223,kavieng,PG,82.58,clear sky,-2.57,150.8,Nusa Island Retreat
225,lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
227,ericeira,PT,87.8,clear sky,38.96,-9.42,HOTEL PEDRO O PESCADOR
230,mae ramat,TH,75.16,overcast clouds,16.98,98.52,ก้านพลู ไอศครีมกะทิสด
231,erzin,TR,84.0,clear sky,36.96,36.2,Artemis Otel
234,namibe,AO,68.25,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
235,beruwala,LK,80.11,overcast clouds,6.48,79.98,The Palms Hotel
236,georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
239,lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
241,ogulin,HR,73.4,overcast clouds,45.27,15.23,Hotel Frankopan
243,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
244,carnwath,GB,61.0,overcast clouds,55.7,-3.63,The Robertson Arms Hotel
245,jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
246,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
247,arauco,CL,55.4,broken clouds,-37.25,-73.32,Con vista al mar
252,albany,US,78.01,scattered clouds,42.6,-73.97,
253,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
254,bethel,US,78.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
256,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
257,georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
258,karlstad,SE,57.99,broken clouds,59.38,13.5,Scandic Karlstad City
259,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
260,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
261,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
262,namibe,AO,68.25,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
263,camacha,PT,75.2,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
265,souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
266,kasongo-lunda,CD,82.58,scattered clouds,-6.47,16.82,
267,luis correia,BR,85.73,few clouds,-2.88,-41.67,Hotel Amarração
269,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
271,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
273,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
274,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
275,torbay,CA,66.99,few clouds,47.67,-52.73,Gallows Cove
276,hermanus,ZA,59.63,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
277,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
278,saint-pierre,RE,69.8,mist,-21.34,55.48,Lindsey Hôtel
280,constitucion,CL,56.64,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
281,padre bernardo,BR,96.22,scattered clouds,-15.35,-48.5,
282,georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
283,saint-philippe,RE,69.8,mist,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
284,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
286,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
287,sambava,MG,71.58,clear sky,-14.27,50.17,Melrose
290,chuy,UY,57.87,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
291,kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
292,avera,US,86.0,scattered clouds,33.19,-82.53,
293,albany,US,78.01,scattered clouds,42.6,-73.97,
294,jardim,BR,88.25,overcast clouds,-21.48,-56.14,Hotel Estância
295,jalu,LY,84.31,clear sky,29.03,21.55,Jalu Hotel
297,port elizabeth,ZA,59.0,few clouds,-33.92,25.57,39 On Nile Guest House
299,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
300,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
302,saint george,US,93.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
303,singaraja,ID,77.94,few clouds,-8.11,115.09,Puri Bagus Lovina Resort
304,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
305,petrozavodsk,RU,51.8,broken clouds,61.78,34.35,"Первый рыбный ресторан ""Фрегат"""
307,port elizabeth,ZA,59.0,few clouds,-33.92,25.57,39 On Nile Guest House
308,airai,TL,56.57,broken clouds,-8.93,125.41,Juvinal Martin
309,los llanos de aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
311,albany,US,78.01,scattered clouds,42.6,-73.97,
313,hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
314,north bend,US,61.0,few clouds,43.41,-124.22,Red Lion Hotel Coos Bay
315,flinders,AU,57.99,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
316,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
317,hobart,AU,60.01,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
318,lichinga,MZ,64.0,smoke,-13.31,35.24,Residencial Bendiak
320,kodiak,US,53.6,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
321,severo-kurilsk,RU,52.77,scattered clouds,50.68,156.12,Kak Doma
322,butaritari,KI,82.89,scattered clouds,3.07,172.79,Isles Sunset Lodge
323,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
324,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
325,sistranda,NO,51.8,light rain,63.73,8.83,Hotell Frøya
326,matara,LK,79.03,overcast clouds,5.95,80.54,Amaloh Boutique Resort
327,banda aceh,ID,80.47,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
328,fez,MA,93.2,few clouds,34.04,-5.0,Hotel Mounia Fès
329,east london,ZA,59.0,few clouds,-33.02,27.91,Tu Casa
332,pacific grove,US,96.01,haze,36.62,-121.92,Lovers Point Inn
335,constitucion,CL,56.64,broken clouds,-35.33,-72.42,Hotel Boutique Las Azucenas
337,payakumbuh,ID,69.85,broken clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
338,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
340,hami,CN,74.73,broken clouds,42.8,93.45,Laoyutang Resort
342,albany,US,78.01,scattered clouds,42.6,-73.97,
343,saint-pierre,RE,69.8,mist,-21.34,55.48,Lindsey Hôtel
345,mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
346,jamestown,US,66.99,few clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
349,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
350,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
351,tomohon,ID,75.2,scattered clouds,1.33,124.84,Gardenia Country Inn
352,tomatlan,MX,89.2,overcast clouds,19.93,-105.25,Norma franco
353,monte alegre,BR,95.56,scattered clouds,-2.01,-54.07,Hotel Shekinah
354,kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
355,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
356,nueva concepcion,GT,89.6,scattered clouds,14.2,-91.3,Hotel Villa Las Flores
358,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
359,kathu,TH,87.01,few clouds,7.92,98.33,Novotel Phuket Resort
360,cape town,ZA,63.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
363,xushan,CN,86.0,clear sky,30.18,121.25,Hangzhou Bay Hotel
367,kudahuvadhoo,MV,83.01,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
